timestamp,open,high,low,close,volume
2024-04-29 04:00:00,170.49,171.99,170.49,171.75,18053
2024-04-29 04:01:00,171.62,171.8,171.62,171.8,3456
2024-04-29 04:02:00,171.74,172.1,171.74,171.87,3683
2024-04-29 04:03:00,172,172.1,171.92,172.1,4127
2024-04-29 04:04:00,171.89,171.89,171.81,171.81,300
2024-04-29 04:05:00,171.81,171.81,171.72,171.72,945
2024-04-29 04:07:00,171.77,171.88,171.72,171.88,707
2024-04-29 04:08:00,171.86,171.86,171.86,171.86,200
2024-04-29 04:09:00,171.86,172.03,171.86,172,1703
2024-04-29 04:10:00,171.96,171.96,171.96,171.96,162
2024-04-29 04:11:00,171.96,171.96,171.91,171.91,600
2024-04-29 04:12:00,171.96,171.96,171.96,171.96,200
2024-04-29 04:13:00,171.95,171.95,171.95,171.95,200
2024-04-29 04:15:00,171.72,171.72,171.71,171.71,200
2024-04-29 04:16:00,171.72,171.72,171.71,171.72,354
2024-04-29 04:18:00,171.73,171.79,171.73,171.79,200
2024-04-29 04:19:00,171.8,171.8,171.75,171.75,200
2024-04-29 04:22:00,171.8,171.8,171.77,171.77,300
2024-04-29 04:24:00,171.72,171.79,171.72,171.79,200
2024-04-29 04:25:00,171.72,171.72,171.6,171.6,1660
2024-04-29 04:28:00,171.52,171.62,171.51,171.62,793
2024-04-29 04:29:00,171.63,171.63,171.63,171.63,200
2024-04-29 04:30:00,171.69,171.73,171.69,171.73,684
2024-04-29 04:31:00,171.7,171.7,171.7,171.7,100
2024-04-29 04:35:00,171.66,171.66,171.66,171.66,227
2024-04-29 04:36:00,171.58,171.72,171.58,171.72,833
2024-04-29 04:37:00,171.66,171.66,171.65,171.65,1050
2024-04-29 04:38:00,171.67,171.67,171.66,171.66,200
2024-04-29 04:39:00,171.6,171.6,171.55,171.55,2766
2024-04-29 04:41:00,171.58,171.6,171.58,171.6,3272
2024-04-29 04:42:00,171.6,171.6,171.58,171.58,226
2024-04-29 04:44:00,171.58,171.64,171.55,171.6,987
2024-04-29 04:45:00,171.6,171.6,171.6,171.6,100
2024-04-29 04:46:00,171.6,171.6,171.54,171.54,270
2024-04-29 04:47:00,171.56,171.56,171.56,171.56,100
2024-04-29 04:48:00,171.5,171.5,171.5,171.5,300
