timestamp,open,high,low,close,volume
2024-04-29 04:00:00,170.49,172.22,170.49,172.13,70339
2024-04-29 05:00:00,172.0,172.32,171.87,172.2,49083
2024-04-29 06:00:00,172.2,173.0,172.18,172.7,69358
2024-04-29 07:00:00,172.7,173.68,172.16,173.65,184602
2024-04-29 08:00:00,173.65,173.75,170.25,173.47,354932
2024-04-29 09:00:00,173.55,176.03,172.79,175.19,12652883
2024-04-29 10:00:00,175.2,175.99,174.38,174.8625,7847510
2024-04-29 11:00:00,174.87,175.13,173.98,174.6701,6032047
2024-04-29 12:00:00,174.68,174.825,174.22,174.55,3492973
2024-04-29 13:00:00,174.555,175.105,174.39,174.81,3633762
2024-04-29 14:00:00,174.805,174.8064,173.945,174.62,3662899
2024-04-29 15:00:00,174.62,174.62,173.1,173.53,7242498
2024-04-29 16:00:00,173.5,173.75,173.49,173.5,7628531
2024-04-29 17:00:00,173.67,173.7,173.5,173.6,32177
2024-04-29 18:00:00,173.64,173.64,173.52,173.6,20817
2024-04-29 19:00:00,173.57,173.77,173.52,173.67,16286
2024-04-30 04:00:00,173.22,174.06,173.12,173.97,11531
2024-04-30 05:00:00,173.95,174.5,173.95,174.2,16787
2024-04-30 06:00:00,174.36,174.4,174.23,174.23,11603
2024-04-30 07:00:00,174.22,174.22,173.75,173.75,16299
2024-04-30 08:00:00,173.95,174.5,172.79,173.28,177381
2024-04-30 09:00:00,173.21,174.74,172.65,174.46,4659449
2024-04-30 10:00:00,174.46,174.99,174.025,174.16,4957494
2024-04-30 11:00:00,174.17,174.4,173.605,174.15,3708606
2024-04-30 12:00:00,174.15,174.1999,173.245,173.865,2773230
2024-04-30 13:00:00,173.86,173.93,173.1,173.68,2683340
2024-04-30 14:00:00,173.68,173.8799,172.84,173.1223,2768503
2024-04-30 15:00:00,173.1201,173.26,170.0,170.05,11763891
2024-04-30 16:00:00,170.38,170.89,168.45,169.9,18439809
2024-04-30 17:00:00,169.89,170.0,169.6093,169.76,66702
2024-04-30 18:00:00,169.93,170.33,169.75,170.28,73163
2024-04-30 19:00:00,170.23,170.31,170.03,170.18,22770
2024-05-01 04:00:00,170.5,170.5,169.51,169.79,13089
2024-05-01 05:00:00,169.73,169.73,169.34,169.59,7025
2024-05-01 06:00:00,169.5,170.3,169.5,170.1,14742
2024-05-01 07:00:00,170.2,170.2,169.82,169.99,18629
2024-05-01 08:00:00,170.15,170.6,169.5,169.9702,192673
2024-05-01 09:00:00,169.96,170.6387,169.11,170.3299,3731253
2024-05-01 10:00:00,170.32,171.35,170.17,171.105,4148626
2024-05-01 11:00:00,171.1,171.6,170.645,171.52,3385465
2024-05-01 12:00:00,171.52,171.72,171.06,171.06,2640380
2024-05-01 13:00:00,171.055,171.249,170.61,171.23,2367558
2024-05-01 14:00:00,171.24,172.635,170.83,172.48,5304063
2024-05-01 15:00:00,172.49,172.705,169.25,169.31,9420222
2024-05-01 16:00:00,169.3,170.34,169.1,170.06,7376472
2024-05-01 17:00:00,170.03,170.39,169.3,170.35,70144
2024-05-01 18:00:00,170.3,170.45,169.3,170.15,53035
2024-05-01 19:00:00,170.29,170.31,170.08,170.31,28901
2024-05-02 04:00:00,170.5,171.5,170.5,171.12,30034
2024-05-02 05:00:00,171.14,171.2,170.92,171.17,9072
2024-05-02 06:00:00,171.18,171.38,171.02,171.2,7953
2024-05-02 07:00:00,171.15,171.27,170.8,170.89,37397
2024-05-02 08:00:00,171.15,173.1197,170.7,171.95,427263
2024-05-02 09:00:00,171.9,172.94,171.21,171.44,7253665
2024-05-02 10:00:00,171.425,172.08,170.89,171.5602,5606660
2024-05-02 11:00:00,171.568,172.19,171.44,172.1,4536048
2024-05-02 12:00:00,172.105,172.505,171.93,172.1589,5279427
